ID,Gender,InterpYears,Promoted,TimeSpentAtRank,Left,STEM,CurrRank,Age,RetirementAge
1,Female,1992,0,1,0,nonSTEM,1,35,0
1,Female,1993,0,2,0,nonSTEM,1,36,0
1,Female,1994,0,3,0,nonSTEM,1,37,0
1,Female,1995,0,4,0,nonSTEM,1,38,0
1,Female,1996,0,5,1,nonSTEM,1,39,0
2,Male,2008,0,1,0,nonSTEM,1,31,0
2,Male,2009,0,2,0,nonSTEM,1,32,0
2,Male,2010,0,3,0,nonSTEM,1,33,0
2,Male,2011,1,4,0,nonSTEM,1,34,0
2,Male,2012,0,1,0,nonSTEM,2,35,0
2,Male,2013,0,2,0,nonSTEM,2,36,0
2,Male,2014,0,3,0,nonSTEM,2,37,0
2,Male,2015,0,4,0,nonSTEM,2,38,0
2,Male,2016,0,5,0,nonSTEM,2,39,0
2,Male,2017,0,6,0,nonSTEM,2,40,0
2,Male,2018,0,7,0,nonSTEM,2,41,0
2,Male,2019,1,8,0,nonSTEM,2,42,0
2,Male,2020,0,1,0,nonSTEM,3,43,0
2,Male,2021,0,2,0,nonSTEM,3,44,0
2,Male,2022,0,3,0,nonSTEM,3,45,0
2,Male,2023,0,4,0,nonSTEM,3,46,0
2,Male,2024,0,5,0,nonSTEM,3,47,0
2,Male,2025,0,6,1,nonSTEM,3,48,0
3,Male,2011,0,1,0,STEM,1,32,0
3,Male,2012,0,2,0,STEM,1,33,0
3,Male,2013,0,3,0,STEM,1,34,0
3,Male,2014,0,4,0,STEM,1,35,0
3,Male,2015,0,5,0,STEM,1,36,0
3,Male,2016,0,6,0,STEM,1,37,0
3,Male,2017,1,7,0,STEM,1,38,0
3,Male,2018,0,1,0,STEM,2,39,0
3,Male,2019,0,2,0,STEM,2,40,0
3,Male,2020,0,3,0,STEM,2,41,0
3,Male,2021,0,4,0,STEM,2,42,0
3,Male,2022,0,5,0,STEM,2,43,0
3,Male,2023,1,6,0,STEM,2,44,0
3,Male,2024,0,1,0,STEM,3,45,0
